998089, 34.0664155, -118.17045833333333, +01.734,  -01.525,  +19.3,  +22.1, $GNRMC, 205524.00, A, 3403.98493, N, 11810.22750, W, 0.262, , 260324, , , A, V*05
998089, 34.0664145, -118.17046416666666, +01.734,  -01.525,  +19.3,  +22.1, $GNRMC, 205529.00, A, 3403.98487, N, 11810.22785, W, 0.205, , 260324, , , A, V*04
998089, 34.066409166666666, -118.17046366666666, +01.597,  -00.949,  +19.3,  +22.1, $GNRMC, 205530.00, A, 3403.98455, N, 11810.22782, W, 0.193, , 260324, , , D, V*0D
998089, 34.066409166666666, -118.17046366666666, +01.363,  -01.189,  +19.3,  +22.1, $GNRMC, 205530.00, A, 3403.98455, N, 11810.22782, W, 0.193, , 260324, , , D, V*0D
998089, 34.066402333333336, -118.17046516666667, +01.721,  -01.247,  +19.3,  +22.1, $GNRMC, 205533.00, A, 3403.98414, N, 11810.22791, W, 0.224, , 260324, , , D, V*06
998089, 34.066402333333336, -118.17046516666667, +01.721,  -01.247,  +19.3,  +22.1, $GNRMC, 205533.00, A, 3403.98414, N, 11810.22791, W, 0.224, , 260324, , , D, V*06
998089, 34.066402333333336, -118.17046516666667, +01.466,  -01.897,  +19.3,  +22.1, $GNRMC, 205533.00, A, 3403.98414, N, 11810.22791, W, 0.224, , 260324, , , D, V*06
998089, 34.066400333333334, -118.1704735, +01.466,  -01.897,  +19.3,  +22.1, $GNRMC, 205537.00, A, 3403.98402, N, 11810.22841, W, 0.121, , 260324, , , D, V*01
998089, 34.0664, -118.170474, +01.252,  -01.265,  +19.3,  +22.1, $GNRMC, 205538.00, A, 3403.98400, N, 11810.22844, W, 0.198, , 260324, , , D, V*0B
998089, 34.0664, -118.170474, +01.162,  -01.581,  +19.3,  +22.1, $GNRMC, 205538.00, A, 3403.98400, N, 11810.22844, W, 0.198, , 260324, , , D, V*0B
998089, 34.06639666666667, -118.170474, +01.162,  -01.581,  +19.3,  +22.1, $GNRMC, 205541.00, A, 3403.98380, N, 11810.22844, W, 0.210, , 260324, , , D, V*09
998089, 34.06639666666667, -118.170474, +01.092,  -01.595,  +19.3,  +22.1, $GNRMC, 205541.00, A, 3403.98380, N, 11810.22844, W, 0.210, , 260324, , , D, V*09
998089, 34.06639466666667, -118.17047533333333, +01.043,  -01.740,  +19.3,  +22.1, $GNRMC, 205544.00, A, 3403.98368, N, 11810.22852, W, 0.199, , 260324, , , D, V*0F
998089, 34.06639466666667, -118.17047533333333, +01.220,  -01.999,  +19.3,  +22.1, $GNRMC, 205544.00, A, 3403.98368, N, 11810.22852, W, 0.199, , 260324, , , D, V*0F
998089, 34.066394333333335, -118.1704775, +01.105,  -02.207,  +19.3,  +22.1, $GNRMC, 205547.00, A, 3403.98366, N, 11810.22865, W, 0.174, , 260324, , , D, V*05
998089, 34.066394333333335, -118.1704775, +01.105,  -02.207,  +19.3,  +22.1, $GNRMC, 205547.00, A, 3403.98366, N, 11810.22865, W, 0.174, , 260324, , , D, V*05
998089, 34.066393, -118.17047533333333, +01.105,  -02.207,  +19.3,  +22.1, $GNRMC, 205550.00, A, 3403.98358, N, 11810.22852, W, 0.191, , 260324, , , D, V*01
998089, 34.066393, -118.17047533333333, +01.284,  -01.862,  +19.3,  +22.1, $GNRMC, 205550.00, A, 3403.98358, N, 11810.22852, W, 0.191, , 260324, , , D, V*01
998089, 34.0663925, -118.1704765, +01.445,  -01.852,  +19.3,  +22.1, $GNRMC, 205553.00, A, 3403.98355, N, 11810.22859, W, 0.226, , 260324, , , D, V*0B
998089, 34.0663925, -118.1704765, +01.364,  -01.911,  +19.3,  +22.1, $GNRMC, 205553.00, A, 3403.98355, N, 11810.22859, W, 0.226, , 260324, , , D, V*0B
998089, 34.0663925, -118.17047933333333, +01.277,  -01.707,  +19.3,  +22.1, $GNRMC, 205556.00, A, 3403.98355, N, 11810.22876, W, 0.183, , 260324, , , D, V*0F
998089, 34.0663925, -118.17047933333333, +01.277,  -01.707,  +19.3,  +22.1, $GNRMC, 205556.00, A, 3403.98355, N, 11810.22876, W, 0.183, , 260324, , , D, V*0F
998089, 34.0663925, -118.17047933333333, +01.037,  -01.771,  +19.3,  +22.1, $GNRMC, 205556.00, A, 3403.98355, N, 11810.22876, W, 0.183, , 260324, , , D, V*0F
998089, 34.06639283333333, -118.17048333333334, +00.808,  -01.807,  +19.3,  +22.1, $GNRMC, 205600.00, A, 3403.98357, N, 11810.22900, W, 0.175, , 260324, , , D, V*04
998089, 34.06639283333333, -118.17048333333334, +00.808,  -01.807,  +19.3,  +22.1, $GNRMC, 205600.00, A, 3403.98357, N, 11810.22900, W, 0.175, , 260324, , , D, V*04
998089, 34.0663935, -118.1704865, +01.120,  -02.128,  +19.3,  +22.1, $GNRMC, 205603.00, A, 3403.98361, N, 11810.22919, W, 0.192, , 260324, , , D, V*03
998089, 34.0663935, -118.1704865, +00.796,  -01.737,  +19.3,  +22.1, $GNRMC, 205603.00, A, 3403.98361, N, 11810.22919, W, 0.192, , 260324, , , D, V*03
998089, 34.066393833333336, -118.17048983333333, +01.080,  -01.821,  +19.3,  +22.1, $GNRMC, 205606.00, A, 3403.98363, N, 11810.22939, W, 0.193, , 260324, , , D, V*07
998089, 34.066393833333336, -118.17048983333333, +01.182,  -02.726,  +19.3,  +22.1, $GNRMC, 205606.00, A, 3403.98363, N, 11810.22939, W, 0.193, , 260324, , , D, V*07
998089, 34.06639366666667, -118.1704925, +01.112,  -02.607,  +19.3,  +22.1, $GNRMC, 205609.00, A, 3403.98362, N, 11810.22955, W, 0.172, , 260324, , , D, V*0C
998089, 34.06639366666667, -118.1704925, +01.112,  -02.607,  +19.3,  +22.1, $GNRMC, 205609.00, A, 3403.98362, N, 11810.22955, W, 0.172, , 260324, , , D, V*0C
998089, 34.06639366666667, -118.1704925, +01.131,  -02.437,  +19.3,  +22.1, $GNRMC, 205609.00, A, 3403.98362, N, 11810.22955, W, 0.172, , 260324, , , D, V*0C
998089, 34.06639366666667, -118.17049483333334, +01.131,  -02.437,  +19.3,  +22.1, $GNRMC, 205613.00, A, 3403.98362, N, 11810.22969, W, 0.174, , 260324, , , D, V*0E
998089, 34.0663935, -118.170496, +01.485,  -02.190,  +19.3,  +22.1, $GNRMC, 205614.00, A, 3403.98361, N, 11810.22976, W, 0.219, , 260324, , , D, V*0C
998089, 34.0663935, -118.170496, +01.485,  -02.190,  +19.3,  +22.1, $GNRMC, 205614.00, A, 3403.98361, N, 11810.22976, W, 0.219, , 260324, , , D, V*0C
998089, 34.0663935, -118.170496, +01.544,  -01.719,  +19.3,  +22.1, $GNRMC, 205614.00, A, 3403.98361, N, 11810.22976, W, 0.219, , 260324, , , D, V*0C
998089, 34.066393166666664, -118.17050133333333, +01.544,  -01.719,  +19.3,  +22.1, $GNRMC, 205618.00, A, 3403.98359, N, 11810.23008, W, 0.186, , 260324, , , D, V*0F
998089, 34.066393166666664, -118.17050133333333, +01.803,  -01.550,  +19.3,  +22.1, $GNRMC, 205618.00, A, 3403.98359, N, 11810.23008, W, 0.186, , 260324, , , D, V*0F
998089, 34.066393166666664, -118.17050133333333, +01.934,  -01.898,  +19.3,  +22.1, $GNRMC, 205618.00, A, 3403.98359, N, 11810.23008, W, 0.186, , 260324, , , D, V*0F
998089, 34.06639366666667, -118.17050633333334, +01.934,  -01.898,  +19.3,  +22.1, $GNRMC, 205622.00, A, 3403.98362, N, 11810.23038, W, 0.236, , 260324, , , D, V*05
998089, 34.06639366666667, -118.17050633333334, +01.814,  -01.607,  +19.3,  +22.1, $GNRMC, 205622.00, A, 3403.98362, N, 11810.23038, W, 0.236, , 260324, , , D, V*05
998089, 34.06639366666667, -118.17050633333334, +01.814,  -01.607,  +19.3,  +22.1, $GNRMC, 205622.00, A, 3403.98362, N, 11810.23038, W, 0.236, , 260324, , , D, V*05
998089, 34.06639333333333, -118.1705115, +01.751,  -01.723,  +19.3,  +22.1, $GNRMC, 205626.00, A, 3403.98360, N, 11810.23069, W, 0.174, , 260324, , , D, V*02
998089, 34.06639333333333, -118.1705115, +01.873,  -01.828,  +19.3,  +22.1, $GNRMC, 205626.00, A, 3403.98360, N, 11810.23069, W, 0.174, , 260324, , , D, V*02
998089, 34.066392666666665, -118.1705145, +01.832,  -02.020,  +19.3,  +22.1, $GNRMC, 205629.00, A, 3403.98356, N, 11810.23087, W, 0.188, , 260324, , , D, V*0B
998089, 34.066392666666665, -118.1705145, +01.854,  -02.110,  +19.3,  +22.1, $GNRMC, 205629.00, A, 3403.98356, N, 11810.23087, W, 0.188, , 260324, , , D, V*0B
998089, 34.06639216666667, -118.1705175, +01.766,  -02.019,  +19.3,  +22.1, $GNRMC, 205632.00, A, 3403.98353, N, 11810.23105, W, 0.160, , 260324, , , D, V*09
998089, 34.06639216666667, -118.1705175, +01.766,  -02.019,  +19.3,  +22.1, $GNRMC, 205632.00, A, 3403.98353, N, 11810.23105, W, 0.160, , 260324, , , D, V*09
998089, 34.066391833333334, -118.17052016666666, +01.669,  -04.209,  +19.3,  +22.1, $GNRMC, 205635.00, A, 3403.98351, N, 11810.23121, W, 0.238, , 260324, , , D, V*04
998089, 34.066391833333334, -118.17052016666666, +01.857,  -01.847,  +19.3,  +22.1, $GNRMC, 205635.00, A, 3403.98351, N, 11810.23121, W, 0.238, , 260324, , , D, V*04
998089, 34.0663915, -118.17052366666667, +01.480,  -01.599,  +19.3,  +22.1, $GNRMC, 205638.00, A, 3403.98349, N, 11810.23142, W, 0.168, , 260324, , , D, V*03
998089, 34.0663915, -118.17052366666667, +01.411,  -01.255,  +19.3,  +22.1, $GNRMC, 205638.00, A, 3403.98349, N, 11810.23142, W, 0.168, , 260324, , , D, V*03
998089, 34.0663915, -118.17052716666667, +01.465,  -01.010,  +19.3,  +22.1, $GNRMC, 205641.00, A, 3403.98349, N, 11810.23163, W, 0.182, , 260324, , , D, V*0A
998089, 34.0663915, -118.17052716666667, +01.465,  -01.010,  +19.3,  +22.1, $GNRMC, 205641.00, A, 3403.98349, N, 11810.23163, W, 0.182, , 260324, , , D, V*0A
998089, 34.066391833333334, -118.17053116666666, +01.351,  -01.171,  +19.3,  +22.1, $GNRMC, 205644.00, A, 3403.98351, N, 11810.23187, W, 0.164, , 260324, , , D, V*04
998089, 34.066391833333334, -118.17053116666666, +01.336,  -01.411,  +19.3,  +22.1, $GNRMC, 205644.00, A, 3403.98351, N, 11810.23187, W, 0.164, , 260324, , , D, V*04
998089, 34.06639233333333, -118.1705355, +01.357,  -01.965,  +19.3,  +22.1, $GNRMC, 205647.00, A, 3403.98354, N, 11810.23213, W, 0.192, , 260324, , , D, V*05
998089, 34.06639233333333, -118.1705355, +01.261,  -02.199,  +19.3,  +22.1, $GNRMC, 205647.00, A, 3403.98354, N, 11810.23213, W, 0.192, , 260324, , , D, V*05
998089, 34.06639283333333, -118.17054133333333, +01.155,  -02.212,  +19.3,  +22.1, $GNRMC, 205650.00, A, 3403.98357, N, 11810.23248, W, 0.165, , 260324, , , D, V*06
998089, 34.06639283333333, -118.17054133333333, +01.155,  -02.212,  +19.3,  +22.1, $GNRMC, 205650.00, A, 3403.98357, N, 11810.23248, W, 0.165, , 260324, , , D, V*06
998089, 34.066393, -118.17054416666667, +01.284,  -02.124,  +19.3,  +22.1, $GNRMC, 205653.00, A, 3403.98358, N, 11810.23265, W, 0.192, , 260324, , , D, V*0D
998089, 34.066393, -118.17054416666667, +01.232,  -01.790,  +19.3,  +22.1, $GNRMC, 205653.00, A, 3403.98358, N, 11810.23265, W, 0.192, , 260324, , , D, V*0D
998089, 34.066393833333336, -118.1705485, +01.129,  -01.993,  +19.3,  +22.1, $GNRMC, 205656.00, A, 3403.98363, N, 11810.23291, W, 0.194, , 260324, , , D, V*0D
998089, 34.066393833333336, -118.1705485, +00.903,  -01.742,  +19.3,  +22.1, $GNRMC, 205656.00, A, 3403.98363, N, 11810.23291, W, 0.194, , 260324, , , D, V*0D
998089, 34.066395, -118.17055333333333, +00.876,  -01.918,  +19.3,  +22.1, $GNRMC, 205659.00, A, 3403.98370, N, 11810.23320, W, 0.193, , 260324, , , D, V*0C
998089, 34.066395, -118.17055333333333, +00.876,  -01.918,  +19.3,  +22.1, $GNRMC, 205659.00, A, 3403.98370, N, 11810.23320, W, 0.193, , 260324, , , D, V*0C
998089, 34.066395166666666, -118.17055716666667, +01.173,  -01.648,  +19.3,  +22.1, $GNRMC, 205702.00, A, 3403.98371, N, 11810.23343, W, 0.133, , 260324, , , D, V*0D
998089, 34.066395166666666, -118.17055716666667, +00.553,  -01.717,  +19.3,  +22.1, $GNRMC, 205702.00, A, 3403.98371, N, 11810.23343, W, 0.133, , 260324, , , D, V*0D
998089, 34.0663955, -118.1705605, +00.860,  -01.899,  +19.3,  +22.1, $GNRMC, 205705.00, A, 3403.98373, N, 11810.23363, W, 0.162, , 260324, , , D, V*0E
998089, 34.0663955, -118.1705605, +00.918,  -02.303,  +19.3,  +22.1, $GNRMC, 205705.00, A, 3403.98373, N, 11810.23363, W, 0.162, , 260324, , , D, V*0E
998089, 34.066394833333334, -118.17056233333334, +00.918,  -02.303,  +19.3,  +22.1, $GNRMC, 205708.00, A, 3403.98369, N, 11810.23374, W, 0.224, , 260324, , , D, V*0F
