998089, 34.066381, -118.1706005, +01.459,  -01.742,  +19.3,  +22.1, $GNRMC, 205748.00, A, 3403.98286, N, 11810.23603, W, 0.211, , 260324, , , D, V*08
998089, 34.066381, -118.1706005, +01.478,  -01.808,  +19.3,  +22.1, $GNRMC, 205748.00, A, 3403.98286, N, 11810.23603, W, 0.211, , 260324, , , D, V*08
998089, 34.066379166666664, -118.17060883333333, +01.478,  -01.808,  +19.3,  +22.1, $GNRMC, 205753.00, A, 3403.98275, N, 11810.23653, W, 0.208, , 260324, , , D, V*03
998089, 34.066379166666664, -118.17060883333333, +01.481,  -02.285,  +19.3,  +22.1, $GNRMC, 205753.00, A, 3403.98275, N, 11810.23653, W, 0.208, , 260324, , , D, V*03
998089, 34.06637766666667, -118.17061133333333, +01.604,  -02.090,  +19.3,  +22.1, $GNRMC, 205756.00, A, 3403.98266, N, 11810.23668, W, 0.167, , 260324, , , D, V*06
998089, 34.06637766666667, -118.17061133333333, +01.769,  -02.195,  +19.3,  +22.1, $GNRMC, 205756.00, A, 3403.98266, N, 11810.23668, W, 0.167, , 260324, , , D, V*06
998089, 34.06637683333334, -118.17061516666666, +01.760,  -02.341,  +19.3,  +22.1, $GNRMC, 205759.00, A, 3403.98261, N, 11810.23691, W, 0.151, , 260324, , , D, V*0D
998089, 34.06637683333334, -118.17061516666666, +01.926,  -02.708,  +19.3,  +22.1, $GNRMC, 205759.00, A, 3403.98261, N, 11810.23691, W, 0.151, , 260324, , , D, V*0D
998089, 34.06637683333334, -118.17061516666666, +01.796,  -02.584,  +19.3,  +22.1, $GNRMC, 205759.00, A, 3403.98261, N, 11810.23691, W, 0.151, , 260324, , , D, V*0D
998089, 34.06637516666667, -118.17062216666666, +01.673,  -02.265,  +19.3,  +22.1, $GNRMC, 205803.00, A, 3403.98251, N, 11810.23733, W, 0.206, , 260324, , , D, V*06
998089, 34.06637516666667, -118.17062216666666, +01.673,  -02.265,  +19.3,  +22.1, $GNRMC, 205803.00, A, 3403.98251, N, 11810.23733, W, 0.206, , 260324, , , D, V*06
998089, 34.06637516666667, -118.17062216666666, +01.649,  -02.238,  +19.3,  +22.1, $GNRMC, 205803.00, A, 3403.98251, N, 11810.23733, W, 0.206, , 260324, , , D, V*06
998089, 34.06637383333333, -118.17062833333334, +01.649,  -02.238,  +19.3,  +22.1, $GNRMC, 205807.00, A, 3403.98243, N, 11810.23770, W, 0.182, , 260324, , , D, V*09
998089, 34.06637383333333, -118.17062833333334, +01.522,  -02.369,  +20.3,  +22.1, $GNRMC, 205807.00, A, 3403.98243, N, 11810.23770, W, 0.182, , 260324, , , D, V*09
998089, 34.06637383333333, -118.17062833333334, +01.519,  -00.484,  +19.3,  +22.1, $GNRMC, 205807.00, A, 3403.98243, N, 11810.23770, W, 0.182, , 260324, , , D, V*09
998089, 34.066373666666664, -118.17063633333333, +01.519,  -00.484,  +19.3,  +22.1, $GNRMC, 205811.00, A, 3403.98242, N, 11810.23818, W, 0.192, , 260324, , , D, V*0F
998089, 34.066373666666664, -118.17063633333333, +01.699,  -02.429,  +19.3,  +22.1, $GNRMC, 205811.00, A, 3403.98242, N, 11810.23818, W, 0.192, , 260324, , , D, V*0F
