998089, 34.0663395, -118.1707545, +01.836,  -05.291,  +20.3,  +22.1, $GNRMC, 210009.00, A, 3403.98037, N, 11810.24527, W, 0.209, , 260324, , , D, V*0D
998089, 34.066339166666666, -118.17075816666667, +01.757,  -03.187,  +19.3,  +22.1, $GNRMC, 210012.00, A, 3403.98035, N, 11810.24549, W, 0.189, , 260324, , , D, V*06
998089, 34.066339166666666, -118.17075816666667, +01.580,  -02.985,  +20.3,  +22.1, $GNRMC, 210012.00, A, 3403.98035, N, 11810.24549, W, 0.189, , 260324, , , D, V*06
998089, 34.066339, -118.17076183333333, +01.572,  -02.635,  +20.3,  +22.1, $GNRMC, 210015.00, A, 3403.98034, N, 11810.24571, W, 0.190, , 260324, , , D, V*03
998089, 34.066339, -118.17076183333333, +01.572,  -02.635,  +20.3,  +22.1, $GNRMC, 210015.00, A, 3403.98034, N, 11810.24571, W, 0.190, , 260324, , , D, V*03
998089, 34.0663385, -118.17076566666667, +01.636,  -02.362,  +19.3,  +22.1, $GNRMC, 210018.00, A, 3403.98031, N, 11810.24594, W, 0.174, , 260324, , , D, V*0A
998089, 34.0663385, -118.17076566666667, +01.435,  -02.309,  +20.3,  +22.1, $GNRMC, 210018.00, A, 3403.98031, N, 11810.24594, W, 0.174, , 260324, , , D, V*0A
998089, 34.06633816666667, -118.17076933333334, +01.676,  -02.534,  +19.3,  +22.1, $GNRMC, 210021.00, A, 3403.98029, N, 11810.24616, W, 0.147, , 260324, , , D, V*00
998089, 34.06633816666667, -118.17076933333334, +01.435,  -03.274,  +20.3,  +22.1, $GNRMC, 210021.00, A, 3403.98029, N, 11810.24616, W, 0.147, , 260324, , , D, V*00
998089, 34.06633816666667, -118.17076933333334, +01.531,  -03.462,  +20.3,  +22.1, $GNRMC, 210021.00, A, 3403.98029, N, 11810.24616, W, 0.147, , 260324, , , D, V*00
998089, 34.06633816666667, -118.17076933333334, +01.513,  -03.401,  +20.3,  +22.1, $GNRMC, 210021.00, A, 3403.98029, N, 11810.24616, W, 0.147, , 260324, , , D, V*00
998089, 34.06633816666667, -118.1707755, +01.559,  -03.507,  +20.3,  +22.1, $GNRMC, 210026.00, A, 3403.98029, N, 11810.24653, W, 0.160, , 260324, , , D, V*03
998089, 34.06633816666667, -118.1707755, +01.580,  -03.299,  +20.3,  +22.1, $GNRMC, 210026.00, A, 3403.98029, N, 11810.24653, W, 0.160, , 260324, , , D, V*03
998089, 34.06633816666667, -118.1707755, +01.393,  -02.949,  +20.3,  +22.1, $GNRMC, 210026.00, A, 3403.98029, N, 11810.24653, W, 0.160, , 260324, , , D, V*03
998089, 34.066337, -118.17077983333333, +01.427,  -02.705,  +20.3,  +22.1, $GNRMC, 210030.00, A, 3403.98022, N, 11810.24679, W, 0.168, , 260324, , , D, V*0F
998089, 34.066337, -118.17077983333333, +01.423,  -02.606,  +20.3,  +22.1, $GNRMC, 210030.00, A, 3403.98022, N, 11810.24679, W, 0.168, , 260324, , , D, V*0F
998089, 34.0663365, -118.17078233333334, +01.637,  -03.180,  +20.3,  +22.1, $GNRMC, 210033.00, A, 3403.98019, N, 11810.24694, W, 0.191, , 260324, , , D, V*01
998089, 34.0663365, -118.17078233333334, +01.637,  -03.180,  +20.3,  +22.1, $GNRMC, 210033.00, A, 3403.98019, N, 11810.24694, W, 0.191, , 260324, , , D, V*01
998089, 34.066336, -118.17078533333333, +01.754,  -02.931,  +20.3,  +22.1, $GNRMC, 210036.00, A, 3403.98016, N, 11810.24712, W, 0.181, , 260324, , , D, V*05
998089, 34.066336, -118.17078533333333, +01.711,  -02.967,  +20.3,  +22.1, $GNRMC, 210036.00, A, 3403.98016, N, 11810.24712, W, 0.181, , 260324, , , D, V*05
998089, 34.066335333333335, -118.17078866666667, +01.344,  -02.851,  +20.3,  +22.1, $GNRMC, 210039.00, A, 3403.98012, N, 11810.24732, W, 0.177, , 260324, , , D, V*05
998089, 34.066335333333335, -118.17078866666667, +01.688,  -02.904,  +20.3,  +22.1, $GNRMC, 210039.00, A, 3403.98012, N, 11810.24732, W, 0.177, , 260324, , , D, V*05
998089, 34.0663355, -118.17079216666667, +01.624,  -02.937,  +20.3,  +22.1, $GNRMC, 210042.00, A, 3403.98013, N, 11810.24753, W, 0.188, , 260324, , , D, V*0F
998089, 34.0663355, -118.17079216666667, +01.624,  -02.937,  +20.3,  +22.1, $GNRMC, 210042.00, A, 3403.98013, N, 11810.24753, W, 0.188, , 260324, , , D, V*0F
998089, 34.066335, -118.17079533333333, +01.660,  -03.261,  +20.3,  +22.1, $GNRMC, 210045.00, A, 3403.98010, N, 11810.24772, W, 0.177, , 260324, , , D, V*08
998089, 34.066335, -118.17079533333333, +01.521,  -03.479,  +20.3,  +22.1, $GNRMC, 210045.00, A, 3403.98010, N, 11810.24772, W, 0.177, , 260324, , , D, V*08
998089, 34.066334833333336, -118.17079833333334, +01.516,  -03.421,  +20.3,  +22.1, $GNRMC, 210048.00, A, 3403.98009, N, 11810.24790, W, 0.195, , 260324, , , D, V*0D
998089, 34.066334833333336, -118.17079833333334, +01.584,  -03.309,  +20.3,  +22.1, $GNRMC, 210048.00, A, 3403.98009, N, 11810.24790, W, 0.195, , 260324, , , D, V*0D
998089, 34.066334833333336, -118.17079833333334, +01.443,  -03.097,  +20.3,  +22.1, $GNRMC, 210048.00, A, 3403.98009, N, 11810.24790, W, 0.195, , 260324, , , D, V*0D
998089, 34.06633466666667, -118.170801, +01.806,  -03.016,  +20.3,  +22.1, $GNRMC, 210052.00, A, 3403.98008, N, 11810.24806, W, 0.158, , 260324, , , D, V*06
998089, 34.06633466666667, -118.170801, +01.790,  -03.327,  +20.3,  +22.1, $GNRMC, 210052.00, A, 3403.98008, N, 11810.24806, W, 0.158, , 260324, , , D, V*06
998089, 34.06633466666667, -118.170801, +01.940,  -03.233,  +20.3,  +22.1, $GNRMC, 210052.00, A, 3403.98008, N, 11810.24806, W, 0.158, , 260324, , , D, V*06
998089, 34.0663345, -118.17080466666667, +01.916,  -03.352,  +20.3,  +22.1, $GNRMC, 210056.00, A, 3403.98007, N, 11810.24828, W, 0.176, , 260324, , , D, V*0D
998089, 34.0663345, -118.17080466666667, +01.916,  -03.352,  +20.3,  +22.1, $GNRMC, 210056.00, A, 3403.98007, N, 11810.24828, W, 0.176, , 260324, , , D, V*0D
998089, 34.0663345, -118.17080583333333, +01.916,  -03.352,  +20.3,  +22.1, $GNRMC, 210059.00, A, 3403.98007, N, 11810.24835, W, 0.184, , 260324, , , D, V*03
998089, 34.0663345, -118.17080583333333, +01.881,  -03.266,  +20.3,  +22.1, $GNRMC, 210059.00, A, 3403.98007, N, 11810.24835, W, 0.184, , 260324, , , D, V*03
998089, 34.0663345, -118.17080583333333, +01.881,  -03.266,  +20.3,  +22.1, $GNRMC, 210059.00, A, 3403.98007, N, 11810.24835, W, 0.184, , 260324, , , D, V*03
998089, 34.06633383333333, -118.170811, +01.835,  -02.946,  +20.3,  +22.1, $GNRMC, 210103.00, A, 3403.98003, N, 11810.24866, W, 0.178, , 260324, , , D, V*0C
998089, 34.06633383333333, -118.170811, +01.629,  -03.006,  +20.3,  +22.1, $GNRMC, 210103.00, A, 3403.98003, N, 11810.24866, W, 0.178, , 260324, , , D, V*0C
998089, 34.06633383333333, -118.170811, +01.676,  -02.931,  +20.3,  +22.1, $GNRMC, 210103.00, A, 3403.98003, N, 11810.24866, W, 0.178, , 260324, , , D, V*0C
998089, 34.0663335, -118.17081566666667, +01.627,  -03.339,  +20.3,  +22.1, $GNRMC, 210107.00, A, 3403.98001, N, 11810.24894, W, 0.245, , 260324, , , D, V*0A
998089, 34.0663335, -118.17081566666667, +01.271,  -03.261,  +20.3,  +22.1, $GNRMC, 210107.00, A, 3403.98001, N, 11810.24894, W, 0.245, , 260324, , , D, V*0A
998089, 34.0663335, -118.17081566666667, +00.460,  -03.641,  +20.3,  +22.1, $GNRMC, 210107.00, A, 3403.98001, N, 11810.24894, W, 0.245, , 260324, , , D, V*0A
998089, 34.06633333333333, -118.1708175, +01.431,  -03.325,  +20.3,  +22.1, $GNRMC, 210111.00, A, 3403.98000, N, 11810.24905, W, 0.196, , 260324, , , D, V*08
998089, 34.06633333333333, -118.1708175, +01.240,  -03.418,  +20.3,  +22.1, $GNRMC, 210111.00, A, 3403.98000, N, 11810.24905, W, 0.196, , 260324, , , D, V*08
998089, 34.06633333333333, -118.1708175, +01.027,  -03.698,  +20.3,  +22.1, $GNRMC, 210111.00, A, 3403.98000, N, 11810.24905, W, 0.196, , 260324, , , D, V*08
998089, 34.06633333333333, -118.17081866666666, +00.855,  -02.833,  +20.3,  +22.1, $GNRMC, 210115.00, A, 3403.98000, N, 11810.24912, W, 0.011, , 260324, , , D, V*04
